original data,score
"Не рациональная системность, а интуитивный позитивизм, хотя как-то коррелирующий с недедуцируемыми родовыми множествами неканторовской теории множеств Пола Коэна/ Мы сразу же сталкиваемся с двумя проблемами. Во-первых, если условиями философии служат истинностные процедуры, то это означает, что сама по себе она истин не производит. По сути дела, эта ситуация хорошо известна кто сможет процитировать хотя бы одно философское высказывание, о котором имело бы смысл говорить, что оно “истинно”? Но тогда что же именно в философии на кону? Во-вторых, мы предполагаем, что философия “одна”,—в том плане, что законно говорить о Философии, определять какой-либо текст как философский. В каком отношении находится это предполагаемое единство с множественностью условий? Каков этот узел четверицы (родовых процедур—матемы, поэмы, политического изобретения и любви) и одного (философии)? Я собираюсь показать, что на обе проблемы имеется один и тот же ответ, и содержится он в определении философии, представленный здесь как недейственная истинность при условии действенности истинного. Истинностные процедуры, или процедуры родовые, отличаются от накопления знаний своим событийным происхождением. Пока случается только то, что соответствует правилам некоего положения вещей, возможно, конечно же, познание, правильные высказывания, накопление знаний невозможна здесь истина. Истина парадоксальна тем, что она одновременно и внове, следовательно, — нечто редкостное, исключительное, и, затрагивая само бытие того, истиной чего является, наиболее прочна, наибо/17/лее, говоря онтологически, близка к исходному положению вещей.",0
"Когда возникнут трудности, они тебе не помогут. Они не более, чем скатерть приятных концепций, ты еще не развязал узел концептуального мышления. Это подобно тому, как если бы в тебе была латентная болезнь. Сейчас ты в блаженстве, но тебе это не поможет. Поскольку ты не проник в самое ядро, зомби заблуждения до сих пор бродит вокруг. 1 Если ты посчитаешь медитационное переживание высшим, то ты не сможешь достичь воззрения, так как погряз в концепциях. Если ты очаруешься крупицей самадхи, думая что нет ничего выше этого и что вот это и есть совершенное самадхи, ты не сможешь прорваться сквозь деятельность концептуального мышления.",0
"Кривая национализация это политический компромисс. С одной стороны, многочисленные рантье, возникшие вследствие приватизации, сохранили возможность и дальше получать свою ренту. Этот паразитический класс даже существенно увеличился в размере, пополнившись многочисленными представителями силовой бюрократии, не успевшими к первой раздаче. С другой стороны, все они превратились в условных держателей активов, распоряжающихся ими с разрешения правительства, которое накладывает на них разнообразные обременения как социального, так и коррупционного характера.Эта уродливая система, основанная на слегка задрапированном голом насилии, не решая ни одной из проблем, порожденных приватизацией, добавила к ним новые проблемы, ставшие следствием порождаемого ею правового беспредела. Именно попытка осуществить скрытую национализацию привела к окончательному превращению России в мафиозное государство. Путин лечил Россию, но не вылечил.",-1
"Такой вид биологического оружия не действует наверняка, как, к примеру, оспа или ботулизм. Однако, оно может привести к серьезному голоданию бедных стран, а также к финансовым и другого рода потерям и проблемам. Ряд стран, в том числе и США, используют это заболевание риса в качестве биологического оружия. К этому времени в США собрано огромное количество вредного гриба для совершения потенциальных атак на Азию.3. Чума крупного рогатого скотаКогда Чингисхан вторгся в Европу в 13 веке, он случайно занес в нее страшное биологическое оружие. Чума крупного рогатого скота вызывается вирусом, который тесно связан с вирусом кори, и он влияет на крупный рогатый скот и других жвачных животных, таких как козы, бизоны и жирафы. Состояние очень заразное, вызывает повышение температуры, потерю аппетита, дизентерию и воспаление слизистых оболочек. Симптомы сохраняются в течение приблизительно 6-10 дней, после этого животное, как правило, погибает от обезвоживания.",-2
"В Эль-Кусейре /к западу от Хомса/ сирийские пограничники преградили путь нескольким бандам террористов-наемников, пытавшимся прорваться в горный район Калямун. Сирийская армия перекрывает все подступы к этому крупному плацдарму боевиков к северо-западу от Дамаска. Под Алеппо сирийские военнослужащие освободили город Телль-Хасиль, населенный курдами. Информагентство Сурия аль-Эн сообщило об уничтожении штаба исламистской бригады Таухид в результате точечного удара сирийских ВВС. Убиты и тяжело ранены несколько полевых командиров. Вместе с ними ликвидированы 19 наемников. В провинции Хомс в окрестностях города Тель-Калях в районах Идлин Аль-Гейда пограничники предотвратили попытку террористов проникнуть в Сирию из Ливана.",0
"В том числе, ограничениями на продажу спиртных напитков, нововведениями в области высшего образования, категоричным негативным отношением к правам сексуальных меньшинств. Стрельба из водометов по баррикадам и участникам акции протеста в Стамбуле (крупнейший город Турции, главный торговый, промышленный и культурный центр, основной порт страны). Участник протестов бросает бутылку с зажигательной смесью в водометную машину. Во время разгона демонстраций стамбульская полиция не скупилась применять против собравшихся горожан гранаты со слезоточивым газом, от которого пострадали сотни человек. Протестующий укрывается после того, как бросил бутылку с зажигательной смесью на водяную пушку. С увеличением числа протестующих в центре Стамбула на площадь стали стекаться продавцы горячих закусок и турецкого фаст-фуда. Так же на Таксим и близлежащих улицах расположились десятки лотков, на которых можно купить атрибуты противостояния между манифестантами и полицией.",0
"бактериофобия, верминофобия, вермифобия, гельминто, сколецифобия) боязнь червей, заразных насекомых беленофобия (см.белонефобия, белонофобия, оксифобия) боязнь острых предметов, уколоться библиофобия боязнь книг, библиотек блаптофобия боязнь нанести кому-либо поражение бленнофобия боязнь слизи богифобия (фазмофобия) боязнь призраков, духов, дьяволов, пугал большефобия боязнь большевиков ботанофобия (см.ботонофобия) боязнь растений бромгидрофобия (см. аутодизомофобия, бромидросифобия) боязнь собственного запаха, потливости бронтофобия (кераунофобия) боязнь грозы, грома, молнии, шторма буфонофобия (батрахофобия) боязнь лягушек и жаб B вагинофобия- боязнь женских гениталий (бывает у мужчин, реже у женщин) вакцинофобия боязнь прививок венерофобия боязнь заболеть венерической болезнью венстрафобия (калигинефобия) боязнь красивых женщин вербофобия (логофобия) боязнь слов верминофобия (бактериофобия, бациллофобия, вермифобия, гельминто, сколецифобия) боязнь червей, заразных насекомых вермифобия (бактериофобия, бациллофобия, верминофобия, гельминто, сколецифобия) боязнь бактерий, микробов, заразиться, червей, заразных насекомых вертигофобия (динофобия) боязнь головокружения вестифобия боязнь одеваться виккафобия боязнь колдунов, ведьм, колдовства винофобия боязнь употреблять вино виргинитифобия боязнь изнасилования витрикофобия боязнь отчима вомитофобия (эметофобия) боязнь рвоты Г гадефобия боязнь ада гадиофобия (агиофобия, гиерофобия, иерофобия) боязнь священных предметов, святынь, священников галеофобия (аклюрофобия, гатофобия, элурофобия) боязнь кошек, котов галифобия (галлофобия, франкофобия) боязнь всего французского гамаксофобия боязнь колёсного транспорта гамартофобия боязнь совершения недостойного поступка гамофобия (гаметофобия) боязнь женитьбы, брака гаптефобия (афенфосмофобия, афенфозмфобия, гафефобия, гаптофобия) боязнь прикосновения гарпаксофобия (клептофобия, сцелерофобия) боязнь воров, грабителей, краж гатофобия (аклюрофобия, галеофобия, элурофобия) боязнь кошек, котов гафефобия (афенфосмофобия, афенфозмфобия, гаптефобия, гаптофобия) боязнь прикосновения гедонофобия боязнь наслаждения, удовольствия, радости гексакосиойгексеконтагексафобия страх числа 666 (попробуй выговорить!)) гелиофобия (гелеофобия) боязнь смеха, солнца, загара гелленологофобия боязнь сложной научной терминологии, греческой терминологии геллофобия боязнь всего греческого гельминто (бактериофобия, бациллофобия, верминофобия, вермифобия, сколецифобия) боязнь бактерий, микробов, заразиться гематофобия (гемофобия, гемафобия) боязнь крови генуфобия (генофобия) боязнь коленей, повреждения колена, всего связанного с вопросами полового различия гераскофобия (геронтофобия) боязнь стариков, старения германофобия (тевтофобия) боязнь всего немецкого герпетофобия боязнь рептилий, пресмыкающихся, змей гетерофобия боязнь противоположного пола гефирофобия боязнь мостов гиалофобия (гиелофобия, кристаллофобия) боязнь стекла гидраргиофобия боязнь ртути гидрозофобия боязнь вспотеть гидрофобия (аквафобия) боязнь воды, сырости, жидкостей гидрофобофобия боязнь появления гидрофобии гиелофобия (гиалофобия, кристаллофобия) боязнь стекла гиерофобия (агиофобия, иерофобия, гадиофобия) боязнь священных предметов, святынь, священников гилефобия боязнь материализма гилофобия (ксилофобия, никтогилофобия, хилофобия) боязнь леса, темных зарослей гимнофобия боязнь наготы гинекофобия (гинефобия, гинофобия феминофобия) боязнь женщин гипегиафобия (гипенгиофобия, хепенгиофобия) боязнь ответственности гипертрихофобия (каэтофобия, хаэтофобия) боязнь волос гипнофобия (клинофобия) боязнь гипноза, сна, ложиться спать гипософобия (акрофобия, аэрокрофобия, аэроносифобия, ватеофобия, гипсифобия) боязнь высоты гипофобия боязнь недостаточного чувство страха гиппофобия (эквинофобия) боязнь лошадей гипсифобия (акрофобия, аэрокрофобия, аэроносифобия, ватеофобия, гипософобия) боязнь высоты гленофобия боязнь взгляда куклы глоссофобия (пейрафобия) боязнь публичного выступления гнозиофобия боязнь знания гобофобия боязнь нищих и попрошаек годофобия боязнь путешествовать гомилофобия (скопофобия) боязнь общения с окружающими, привлечь к себе внимание, проповедей гоминофобия (андрофобия, аррхенфобия) боязнь мужчин гомихлофобия (хомиклофобия) боязнь тумана гомицидофобия боязнь совершить убийство гомофобия в узком понимании это боязнь гомосексуалистов, гомосексуальности, в более широком смысле это ненависть и неприязнь к гомосексуалистам и гомосексуальности гоплофобия боязнь огнестрельного оружия гормефобия боязнь шока, шоковых ситуаций гравидофобия боязнь встречи с беременной, беременности графофобия боязнь писать от руки, письменных принадлежностей гумафобия (гумофобия) боязнь вкусовых ощущений Д дейпнофобия (дельпнофобия) боязнь обеда, разговоров за обедом декстрофобия боязнь всего находящегося справа, правостороннего дельпнофобия (дейпнофобия) боязнь обеда, разговоров за обедом дементофобия боязнь безумия, сумасшествия демонофобия (сатанофобия) боязнь демонов, дьявола, злого духа, нечистой силы демофобия (охлофобия) боязнь скопления людей, толпы дендрофобия боязнь деревьев дентофобия (одонтофобия, однотофобия) боязнь дантистов, стоматологов, лечения зубов дерматозиофобия (дерматозифобия, дерматопатофобия, дерматофобия) боязнь заразиться кожными заболеваниями дефекалоэзиофобия боязнь болезненных ощущений в кишечнике децидофобия боязнь принимать решения диабетофобия боязнь диабета дидаскалейнофобия (сколинофобия) боязнь школы дикефобия боязнь справедливости динофобия (вертигофобия) боязнь тошноты, головокружения, водоворотов диплофобия боязнь раздвоения (оптического феномена) дипсофобия боязнь пить, питья дисабиллофобия (дисгабиллофобия) боязнь раздеться или появиться в обнаженном виде перед кем-либо дисморфофобия боязнь собственной внешности диспсихофобия боязнь сойти с ума дистихифобия боязнь несчастного случая доксофобия боязнь благодарности, выражать свое мнение доматофобия боязнь домов вообще, пребывания в доме домофобия (клаустрофобия) боязнь замкнутого пространства дорафобия боязнь меха, шкуры животных дорофобия боязнь получать или делать подарки дромофобия боязнь уличного движения Е евпофобия боязнь услышать хорошую новость евресифобия боязнь идей, отличающихся от общепринятых З зевсофобия боязнь богов зелофобия боязнь ревности земмифобия боязнь крыс зоофобия боязнь животных И иатрофобия боязнь посещения врача идеофобия боязнь идей, мышления иерофобия (агиофобия, гиерофобия, гадиофобия) боязнь священных предметов, святынь, священников изолофобия (ануптафобия, аутофобия, монофобия, эремифобия, эремофобия) боязнь одиночества, безбрачия изоптерофобия боязнь насекомых, поедающих древесину, термитов иллингофобия боязнь головокружения при взгляде вниз инсектофобия (энтомофобия) боязнь насекомых интимофобия боязнь первой интимной связи инфарктофобия боязнь инфаркта миокарда иофобия боязнь ядов, отравления ипохондрия (нозофобия, патофобия, молизмофобия) боязнь заболеть исидеродромофобия боязнь дорожной колеи,путей итифаллофобия боязнь созерцания и мыслей об эрегированном половом члене ихтиофобия боязнь рыб К каинофобия (каинолофобия, каинотофобия, кентофобия) боязнь новостей кайнофобия (неофобия) боязнь новизны кайрофобия боязнь перемен, появления незнакомых людей какоррафиофобия боязнь поражения, неудачи какофобия (тератофобия) боязнь уродов калигинефобия (венстрафобия) боязнь красивых женщин канцерофобия (карцинофобия, кацерофобия) боязнь заболеть раком, злокачественной опухолью кардиофобия боязнь инфаркта, смерти от сердечного заболевания карнофобия боязнь мяса карцинофобия (канцерофобия, кацерофобия) боязнь заболеть раком, злокачественной опухолью катагелофобия боязнь быть осмеянным, стать объектом насмешек катапедафобия боязнь прыжков катизофобия (катисофобия) боязнь сидеть катоптрофобия (спектрофобия, эйзоптрофобия) боязнь зеркал каунтерфобия боязнь испугаться кацерофобия (канцерофобия, карцинофобия) боязнь заболеть раком, злокачественной опухолью каэтофобия (гипертрихофобия, хаэтофобия) боязнь волос кейрофобия боязнь пореза при стрижке (у парикмахеров) кенофобия боязнь пустоты, открытых пространств кентофобия (каинофобия, каинолофобия, каинотофобия) боязнь новостей кераунофобия (бронтофобия) боязнь грозы, грома, молнии, шторма киберофобия (киберфобия) боязнь компьютеров киберфобия (киберофобия) боязнь компьютеров (и такое бывает!)) кибофобия боязнь еды кимофобия боязнь волн, волнообразных движений кинесофобия (кинетофобия) боязнь двигаться, движения кинофобия боязнь бешенства, собак кионофобия (хионофобия) боязнь снега киприанофобия (кипридофобия) боязнь венерических заболеваний, проституток кифофобия боязнь сутулости, наклонов клаустрофобия (домофобия) боязнь замкнутого пространства клейзиофобия (клейтрофобия) боязнь оказаться замкнутом пространстве клептофобия (сцелерофобия, гарпаксофобия) боязнь воров, грабителей, краж климакофобия (климактофобия) боязнь ходьбы по лестнице, лестниц клинофобия (гипнофобия) боязнь гипноза, сна, ложиться спать книдофобия боязнь жалящих насекомых коинофобия боязнь помещения, где собиралось много людей коитофобия (эротофобия, коллофобия, колпофобия) боязнь любви, полового акта, женских гениталий койметрофобия боязнь кладбищ койнонифобия боязнь комнат вообще кометофобия боязнь комет кониофобия (аматофобия) боязнь пыли контрафобия боязнь противостояния контрелтофобия (контрельтофобия) боязнь сексуального домогательства копофобия боязнь усталости, переутомления копрастазофобия боязнь запора копрофобия боязнь фекалий космикофобия боязнь космических явлений, космоса коулрофобия боязнь клоунов кремнофобия боязнь пропастей, оврагов криминофобия боязнь совершить преступление криофобия (психрофобия, чеймофобия, фригофобия) боязнь холода кристаллофобия (гиалофобия, гиелофобия) боязнь стекла ксантофобия боязнь желтого цвета ксенофобия боязнь иностранцев и незнакомых людей ксерофобия боязнь сухости, засухи ксилофобия (никтогилофобия, хилофобия, гилофобия) боязнь леса, деревянных предметов ксирофобия боязнь бритвы кхерофобия боязнь развлечений кхорофобия (хорофобия) боязнь танцев Л лалиофобия боязнь говорить лалофобия боязнь говорить из-за возникновения заикания латерофобия боязнь лежать на одном боку лаханофобия боязнь овощей левофобия боязнь всего находящегося слева, левостороннего лейкофобия боязнь белого цвета лепрофобия боязнь заболеть проказой (лепрой) лигирофобия боязнь громкого шума лигрофобия боязнь темных мест лилапсофобия боязнь ураганов лимнофобия боязнь озер лиссофобия (маниофобия) боязнь психического заболевания, расстройства литикафобия боязнь суда логофобия (вербофобия) боязнь слов луифобия (люофобия) боязнь сифилиса люофобия (луифобия) боязнь сифилиса лютрафобия боязнь выдр М магейрокофобия боязнь готовить макрофобия боязнь долго ждать, ожидания малевзиофобия (токофобия) боязнь родов маниофобия (лиссофобия) боязнь психического заболевания, расстройства мастигофобия боязнь порки, наказания мегалофобия боязнь больших предметов медомалакуфобия боязнь потери эрекции медортофобия боязнь пениса в состоянии эрекции меланофобия боязнь всего черного, черного цвета мелиссоффобия (апифобия) боязнь пчел, ос мелофобия боязнь музыки менгофобия (менофобия) боязнь менструаций менингитофобия боязнь заболеваний мозга менофобия (менгофобия) боязнь менструаций меринтофобия боязнь оказаться связанным, веревок металлофобия боязнь металлов, металлических предметов метеорофобия боязнь метеоров метилофобия боязнь алкоголя метрофобия боязнь поэзии механофобия боязнь машин, механизмов мизофобия (аутомизофобия, рипофобия) боязнь загрязнения, прикосновения к окружающим предметам микофобия боязнь грибов микрофобия боязнь маленьких предметов миксеофобия боязнь совершения полового акта из-за необходимости обнажить половые органы, *рикоснуться к телу партнера мирмекофобия боязнь муравьев мифофобия боязнь мифов и сказок мнемофобия боязнь воспоминаний молизмофобия (нозофобия, ипохондрия, патофобия) боязнь заболеть монопатофобия боязнь определенной болезни монофобия (ануптафобия, аутофобия, изолофобия, эремифобия, эремофобия) боязнь одиночества, безбрачия морфинофобия боязнь пристраститься к морфию моторофобия (амаксофобия) боязнь автомобилей моттефобия боязнь моли музофобия боязнь мышей мезофобия - навязчивый страх загрязнения либо заражения, стремление избежать соприкосновения с окружающими предметами. Н некрофобия боязнь трупов и похоронных принадлежностей неофармофобия боязнь новых лекарств неофобия (кайнофобия) боязнь новизны нефофобия боязнь облаков никтогилофобия (ксилофобия, хилофобия, гилофобия) боязнь леса, темных зарослей никтофобия (ахлуофобия, скотофобия, эклуофобия) боязнь темноты, ночи нозокомефобия боязнь больниц нозофобия (ипохондрия, патофобия, молизмофобия) боязнь заболеть номатофобия боязнь имен номофобия боязнь остаться без мобильного телефона, без связи ностофобия боязнь возвращаться домой нуклеомитуфобия боязнь ядерного оружия нумерофобия боязнь чисел вообще О обезофобия боязнь растолстеть обсессия боязнь навязчивое состояние однотофобия (дентофобия, одонтофобия) боязнь дантистов, стоматологов, лечения зубов одонтофобия (дентофобия, однотофобия) боязнь дантистов, стоматологов, лечения зубов ойкофобия боязнь возвращения домой из психиатрической больницы ойнофобия боязнь вина оксифобия (беленофобия, белонефобия, белонофобия) боязнь острых предметов, уколоться октофобия боязнь числа 8 (восемь) ольфактофобия боязнь запахов омброфобия боязнь дождя омматофобия (омметафоб онанофобия боязнь вредных последствий онанизма онейрогмофобия боязнь ночной эякуляции онейрофобия боязнь снов ооцитофобия - боязнь яиц опиофобия боязнь лечиться, врачей оптофобия боязнь открывать глаза орнитофобия (авиафобия) боязнь птиц осмофобия боязнь телесных запахов оспеосиофобия боязнь человеческих запахов остраконофобия боязнь моллюсков офидиофобия (эпистемофобия) боязнь змей охлофобия (демофобия) боязнь скопления людей, толпы П панафобия (пантофобия, панофобия) боязнь всего, что может произойти папафобия боязнь папы римского папирофобия боязнь бумаги паразитофобия боязнь насекомых-паразитов (блох, клопов), заболеть паразитарным кожным заболеванием паралипофобия боязнь ошибочных действий парапофобия боязнь не исполнить свой долг парафобия боязнь сексуального извращения партенофобия боязнь невинных девушек патофобия (нозофобия, ипохондрия, молизмофобия) боязнь заболеть патройофобия боязнь наследственности, наследственных заболеваний педиофобия боязнь кукол, детских игрушек педофобия боязнь детей, рождения ребенка пейрафобия (глоссофобия) боязнь публичного выступления пеладофобия (фалакрофобия) боязнь лысых, облысения пениафобия боязнь бедности, обнищания, бедных пентерафобия боязнь тещи или свекрови петтофобия боязнь неудержания кишечных газов в присутствии посторонних пирофобия (арсонфобия) боязнь огня, пожара плакофобия боязнь могил плутофобия боязнь богатства пнигофобия боязнь оказаться задушенным погонофобия (погофобия) боязнь бород, бородатых полиозофобия боязнь полиомиелита политикофобия боязнь политиков полифобия боязнь многих фобий (страхов), наличие многих фобий (страхов) порфирофобия боязнь пурпурного потамофобия боязнь рек, текущей воды примейзодофобия боязнь потерять невинность проктофобия боязнь геморроя, проктита прософобия боязнь прогресса психофобия боязнь души психрофобия (чеймофобия, фригофобия, криофобия) боязнь холода птеронофобия боязнь птичьих перьев Р рабдофобия боязнь физического и морального наказания радиофобия боязнь радиации ректофобия боязнь не иметь стула рипофобия (мизофобия, аутомизофобия) боязнь загрязнения, прикосновения к окружающим предметам ритифобия боязнь морщин руброфобия (эритофобия, эрейтофобия, эритрофобия) боязнь красного цвета, покраснеть русофобия боязнь всего русского С сатанофобия (демонофобия) боязнь демонов, дьявола, злого духа, нечистой силы селафобия боязнь вспышек света селахофобия боязнь акул селенофобия боязнь луны сеплофобия боязнь гнили сидеродромофобия боязнь езды в поезде, электричке симболофобия боязнь неблагоприятных предзнаменований симметрофобия боязнь симметрии сингенезофобия боязнь родственников синофобия боязнь всего китайского ситиофобия (ситофобия) боязнь приема пищи ситофобия (ситиофобия) боязнь приема пищи сифилофобия боязнь заболеть сифилисом скабиофобия боязнь заболеть чесоткой скиофобия (сциопофобия) боязнь теней сколецифобия (бактериофобия, бациллофобия, верминофобия, вермифобия, гельминто) боязнь бактерий, микробов, заразиться сколинофобия (дидаскалейнофобия) боязнь школы скопофобия (гомилофобия, скоптофобия) боязнь общения с окружающими, привлечь к себе внимание, *проповедей, пристального разглядывания другими скоптофобия (скопофобия) боязнь пристального разглядывания другими скотомафобия (скотомофобия) боязнь слепоты скотофобия (никтофобия, ахлуофобия, эклуофобия) боязнь темноты, ночи сомнифобия боязнь спать сотериофобия боязнь зависимости от других софофобия боязнь учиться социофобия боязнь общества, контактов, оценки окружающими спацефобия боязнь пустого пространства спектрофобия (катоптрофобия, эйзоптрофобия) боязнь зеркал спидофобия боязнь заболеть СПИДом стазобазофобия (базистазифобия, базостазофобия) боязнь стояния стасифобия боязнь вставания стаурофобия боязнь крестов и распятий стенофобия боязнь узких коридоров сцелерофобия (клептофобия, гарпаксофобия) боязнь воров, грабителей, краж сциопофобия (скиофобия) боязнь теней Т табофобия боязнь заболеть спинной сухоткой талассофобия боязнь морей, океанов, купания в море танатофобия боязнь смерти таурофобия боязнь быков тафефобия боязнь быть погребенным заживо, похорон театрофобия боязнь театров тевтофобия (германофобия) боязнь всего немецкого текстофобия боязнь тканей телеофобия (теофобия) боязнь религии, бога телефонофобия боязнь телефона, ожидания телефонного звонка тениофобия боязнь заболеть глистами теологикофобия боязнь теологии теофобия (телеофобия) боязнь религии, бога тератофобия (какофобия) боязнь уродов термофобия боязнь жары, тепла технофобия боязнь техники токофобия (малевзиофобия) боязнь родов токсикофобия боязнь отравлений томофобия боязнь хирургических операций топофобия боязнь остаться одному в помещении, стихийных бедствий травматофобия боязнь травмы тредекафобия (трискадекафобия, трискайдекафобия) боязнь числа 13 (тринадцать) тремофобия боязнь дрожания трипанофобия боязнь ранения трискадекафобия (тредекафобия, трискайдекафобия) боязнь числа 13 (тринадцать) трискайдекафобия (тредекафобия, трискадекафобия) боязнь числа 13 (тринадцать) трихофобия боязнь попадания волос в пищу, на одежду, на поверхность тела тропофобия боязнь переезда, перемен туберкулезофобия (фтизиофобия) боязнь заболеть туберкулезом туннелефобия боязнь следования на транспорте или пешком через туннель У уранофобия боязнь рая, смотреть в небо урофобия боязнь мочиться Ф фагофобия боязнь подавиться пищей фазмофобия (богифобия) боязнь призраков, духов, дьяволов, пугал фалакрофобия (пеладофобия) боязнь облысения фармакофобия боязнь лечиться, принимать лекарства фасмофобия боязнь привидений фебрифобия боязнь заболеть гриппом фенгофобия (фотофобия) боязнь света филемафобия боязнь целоваться философобия боязнь философии филофобия боязнь влюбленности фобиофобия (фобофобия) боязнь фобий (страхов), появления симптомов страха фонофобия (акустикофобия) боязнь звуков, разговора по телефону фотоауглифобия боязнь яркого света фотофобия (фенгофобия) боязнь света франкофобия (галифобия, галлофобия) боязнь всего французского фригофобия (психрофобия, чеймофобия, криофобия) боязнь холода фронемофобия боязнь думать фтизиофобия (туберкулезофобия) боязнь заболеть туберкулезом фтириофобия боязнь вшей Х хайрофобия боязнь появления чувства радости, веселья в неподобающей обстановке, например, на *похоронах харпаксофобия боязнь разбойников, грабителей хаэтофобия (гипертрихофобия, каэтофобия) боязнь волос хепенгиофобия (гипенгиофобия, гипегиафобия) боязнь ответственности херофобия боязнь веселья хилофобия (ксилофобия, никтогилофобия, гилофобия) боязнь леса, темных зарослей хионофобия (кионофобия) боязнь снега хирофобия боязнь рук хомиклофобия (гомихлофобия) боязнь тумана хорофобия (кхорофобия) боязнь заболеть холерой, танцев хрематофобия (хрометофобия) боязнь денег хроматофобия боязнь какого-либо цвета и окрашенных в него предметов хрометофобия (хрематофобия) боязнь денег хромофобия боязнь цвета вообще хронометрофобия (хронофобия) боязнь часов, времени хронофобия (хронометрофобия) боязнь часов, времени Ц ценофобия боязнь пустых комнат цибофобия боязнь пищи циклофобия боязнь велосипедов Ч чеймофобия (психрофобия, фригофобия, криофобия) боязнь холода Э эвфобия боязнь хороших новостей эйзоптрофобия (катоптрофобия, спектрофобия) боязнь зеркал эйкофобия боязнь окрестностей дома эйсоптрофобия боязнь собственного отражения в зеркале эйхофобия боязнь произносить или выслушивать добрые пожелания эквинофобия (гиппофобия) боязнь лошадей эккесиофобия (экклезиофобия) боязнь церквей экклезиофобия (эккесиофобия) боязнь церквей эклуофобия (никтофобия, ахлуофобия, скотофобия) боязнь темноты, ночи экофобия боязнь своего дома элевтерофобия (элейтерофобия) боязнь свободы, освобождения элейтерофобия (элевтерофобия) боязнь свободы, освобождения электрофобия боязнь электричества элурофобия (аклюрофобия, галеофобия, гатофобия) боязнь кошек, котов эметофобия (вомитофобия) боязнь рвоты эмихофобия боязнь царапин энетофобия (айхмофобия) боязнь булавок, колющих предметов эниссофобия боязнь критики энозиофобия боязнь согрешить энохлофобия боязнь толпы энтомофобия (инсектофобия) боязнь насекомых эозофобия боязнь дня, рассвета, солнечного света эпистаксиофобия (эпистаксофобия) боязнь насморка эпистаксофобия (эпистаксиофобия) боязнь насморка эпистемофобия (офидиофобия) боязнь змей см. офидиофобия эргазиофобия боязнь оперировать (у врачей-хирургов) эргофобия боязнь работать, совершать какие-либо действия эрейтофобия (эритофобия, эритрофобия, руброфобия) боязнь красного цвета, покраснеть эремифобия (ануптафобия, аутофобия, изолофобия, монофобия, эремофобия) боязнь одиночества, *безбрачия эритрофобия (эритофобия, эрейтофобия, руброфобия) боязнь красного цвета, покраснеть эротофобия (коллофобия, колпофобия, коитофобия) боязнь любви, полового акта, женских гениталий эфебифобия боязнь подростков Ю юдофобия боязнь всего еврейского Я японофобия боязнь всего японского ятрофобия боязнь врача Источник: Википедия УжОс! Нашли свою? И не одну?!. Весёлого вечера!)",-1
"Авиа и артиллерийские удары были нанесены по укрытиям террористов и их скоплениям на автодороге Алеппо Даиль, в районе Центральной тюрьмы провинции Алеппо, в районах Шейх-Максуд, Дувар Аль-Джанудия, Хандарат и на дороге Алеппо Идлеб. В провинции Идлеб в районе Ан-Нейраб армейскими подразделениями были атакованы лагеря и скопления боевиков Джебхат Ан-Нусры, а также принадлежавшие им склады оружия и боеприпасов. В результате авиа налётов и ударов сирийской артиллерии были ликвидированы 110 членов бандформирований, принадлежавших этой террористической организации. Среди них гражданин Голландии, носивший имя Юсеф иорданцы Аднан Абу Рае, Салех Хамуди, Абедль-Салям Каммат, Сауд Абу Халяка, Талхат Абу Хасан, Аллюш Аль-Халяф подданные Саудовской Аравии Самер Аль-Джинди, Джума Аль-Сулейман, Мехди Сауд, Мехеддин Тейба, Самир Аль-Хасан Хамеди, Хсейн Бакри, Наим Аль-Мефлех, Хури Аль-Хсейн граждане Египта Айман Фатух, Сулейман Осман, Абед Аль-Каттан ливиец Абдель-Фаттах Шаабан и ещё два иностранных главаря отрядов Джебхат Ан-Нусра Хсейн Абдель-Рахман Аль-Саид и Юсеф Рамадан. ВВС САР и артиллерийские подразделения подвергли атакам и уничтожили ряд укрытий боевиков,их автомобили с ДШК и зенитные самоходные установки Шилка в районе военного аэродрома Абу Духур, в населённых пунктах Кафр Тахарим, Маарет Ан-Нуман, Джиср Аш-Шугур, Сермин, Биннеш и Тафтаназ. В городе Биннеш группировка Джебхат Ан-Нусры атаковала автомобиль с боевиками ССА, убив всех находившихся внутри него террористов. Лагеря бандформирований Джебхат Ан-Нусры подверглись налётам военной авиации и артиллерийским ударам в городах Ракка и Табка.",0
"Президент Сирии также ответил на обвинения в адрес его администрации о применении химического оружия в ходе конфликта в Сирии. США, Франция и Великобритания заявили, что мы использовали химическое оружие в некоторых провинциях страны. Если бы они получили какие-либо доказательства этому, то с радостью оповестили бы весь мир. Однако нет данных, из которых вытекали бы такие выводы. Их заявления смехотворны. В Алеппо химическое оружие использовали террористические группировки. Мы направили послание в Организацию Объединенных Наций с просьбой провести официальное расследование инцидента.",-1
"Во двор въехали две лошади. Это были сыновья Тараса Бульбы. Трактор мчался по полю, слегка попахивая... Лермонтов родился у бабушки в деревне, когда его родители жили в Петербурге. Чацкий вышел через задний проход и подпёрнул дверь палкой. Герасим налил Муме щей. Отец Чацкого умер в детстве.",0
