Day,t
2008-01-01,0
2008-01-02,-5
2008-01-03,-11
2008-01-04,-11
2008-01-05,-12
2008-01-06,-14
2008-01-07,-6
2008-01-08,-7
2008-01-09,-6
2008-01-10,0
2008-01-11,2
2008-01-12,3
2008-01-13,2
2008-01-14,3
2008-01-15,2
2008-01-16,2
2008-01-17,2
2008-01-18,1
2008-01-19,1
2008-01-20,2
2008-01-21,2
2008-01-22,1
2008-01-23,-1
2008-01-24,-1
2008-01-25,2
2008-01-26,1
2008-01-27,-1
2008-01-28,-4
2008-01-29,0
2008-01-30,2
2008-01-31,1
2008-02-01,0
2008-02-02,2
2008-02-03,0
2008-02-04,0
2008-02-05,0
2008-02-06,1
2008-02-07,1
2008-02-08,2
2008-02-09,2
2008-02-10,2
2008-02-11,3
2008-02-12,0
2008-02-13,1
2008-02-14,-1
2008-02-15,-6
2008-02-16,-6
2008-02-17,-2
2008-02-18,-1
2008-02-19,-3
2008-02-20,-2
2008-02-21,-1
2008-02-22,3
2008-02-23,2
2008-02-24,-4
2008-02-25,2
2008-02-26,2
2008-02-27,4
2008-02-28,1
2008-02-29,-1
2008-03-01,1
2008-03-02,-1
2008-03-03,-3
2008-03-04,-3
2008-03-05,-4
2008-03-06,0
2008-03-07,1
2008-03-08,0
2008-03-09,2
2008-03-10,7
2008-03-11,8
2008-03-12,3
2008-03-13,3
2008-03-14,5
2008-03-15,2
2008-03-16,1
2008-03-17,2
2008-03-18,2
2008-03-19,0
2008-03-20,-2
2008-03-21,-3
2008-03-22,0
2008-03-23,2
2008-03-24,-1
2008-03-25,-1
2008-03-26,1
2008-03-27,-1
2008-03-28,1
2008-03-29,6
2008-03-30,7
2008-03-31,12
2008-04-01,13
2008-04-02,11
2008-04-03,12
2008-04-04,7
2008-04-05,12
2008-04-06,11
2008-04-07,12
2008-04-08,11
2008-04-09,5
2008-04-10,5
2008-04-11,4
2008-04-12,7
2008-04-13,8
2008-04-14,4
2008-04-15,6
2008-04-16,4
2008-04-17,8
2008-04-18,4
2008-04-19,5
2008-04-20,8
2008-04-21,10
2008-04-22,8
2008-04-23,9
2008-04-24,9
2008-04-25,12
2008-04-26,13
2008-04-27,14
2008-04-28,16
2008-04-29,18
2008-04-30,21
2008-05-01,21
2008-05-02,22
2008-05-03,20
2008-05-04,21
2008-05-05,11
2008-05-07,10
2008-05-08,12
2008-05-09,14
2008-05-10,18
2008-05-11,22
2008-05-12,11
2008-05-13,9
2008-05-14,7
2008-05-15,6
2008-05-16,10
2008-05-17,12
2008-05-18,11
2008-05-19,11
2008-05-20,12
2008-05-21,14
2008-05-22,14
2008-05-23,11
2008-05-24,13
2008-05-25,14
2008-05-26,16
2008-05-27,12
2008-05-28,18
2008-05-29,18
2008-05-30,18
2008-05-31,16
2008-06-01,15
2008-06-02,17
2008-06-03,10
2008-06-04,16
2008-06-05,20
2008-06-06,20
2008-06-07,11
2008-06-08,17
2008-06-09,17
2008-06-10,13
2008-06-11,16
2008-06-12,15
2008-06-13,15
2008-06-14,19
2008-06-15,14
2008-06-16,17
2008-06-17,22
2008-06-18,14
2008-06-19,18
2008-06-20,22
2008-06-21,19
2008-06-22,17
2008-06-23,21
2008-06-24,16
2008-06-25,13
2008-06-26,17
2008-06-27,19
2008-06-28,22
2008-06-29,20
2008-06-30,20
2008-07-01,24
2008-07-02,23
2008-07-03,18
2008-07-04,23
2008-07-05,17
2008-07-06,14
2008-07-07,17
2008-07-08,17
2008-07-09,19
2008-07-10,17
2008-07-11,22
2008-07-12,24
2008-07-13,21
2008-07-14,22
2008-07-15,18
2008-07-16,22
2008-07-17,21
2008-07-18,20
2008-07-19,22
2008-07-20,17
2008-07-21,21
2008-07-22,19
2008-07-23,20
2008-07-24,23
2008-07-25,23
2008-07-26,24
2008-07-27,19
2008-07-28,16
2008-07-29,16
2008-07-30,16
2008-07-31,20
2008-08-01,22
2008-08-02,16
2008-08-03,11
2008-08-04,14
2008-08-05,16
2008-08-06,15
2008-08-07,16
2008-08-08,14
2008-08-09,17
2008-08-10,17
2008-08-11,21
2008-08-12,22
2008-08-13,20
2008-08-14,22
2008-08-15,21
2008-08-16,18
2008-08-17,27
2008-08-18,23
2008-08-19,19
2008-08-20,23
2008-08-21,20
2008-08-22,19
2008-08-23,18
2008-08-24,18
2008-08-25,16
2008-08-26,13
2008-08-27,13
2008-08-28,13
2008-08-29,13
2008-08-30,13
2008-08-31,10
2008-09-01,12
2008-09-02,13
2008-09-03,17
2008-09-04,14
2008-09-05,18
2008-09-06,16
2008-09-07,15
2008-09-08,14
2008-09-09,14
2008-09-10,12
2008-09-11,10
2008-09-12,10
2008-09-13,11
2008-09-14,10
2008-09-15,8
2008-09-16,7
2008-09-17,7
2008-09-18,9
2008-09-19,10
2008-09-20,10
2008-09-21,14
2008-09-22,17
2008-09-23,15
2008-09-24,15
2008-09-25,13
2008-09-26,11
2008-09-27,11
2008-09-28,11
2008-09-29,11
2008-09-30,10
2008-10-01,7
2008-10-02,12
2008-10-03,12
2008-10-04,12
2008-10-05,13
2008-10-06,9
2008-10-07,10
2008-10-08,10
2008-10-09,9
2008-10-10,9
2008-10-11,10
2008-10-12,11
2008-10-13,11
2008-10-14,12
2008-10-15,10
2008-10-16,8
2008-10-17,9
2008-10-18,8
2008-10-19,8
2008-10-20,9
2008-10-21,12
2008-10-22,11
2008-10-23,9
2008-10-24,8
2008-10-25,8
2008-10-26,6
2008-10-27,7
2008-10-28,9
2008-10-29,8
2008-10-30,9
2008-10-31,12
2008-11-01,6
2008-11-02,4
2008-11-03,7
2008-11-04,7
2008-11-05,6
2008-11-06,2
2008-11-07,2
2008-11-08,0
2008-11-09,2
2008-11-10,8
2008-11-11,10
2008-11-12,9
2008-11-13,7
2008-11-14,6
2008-11-15,4
2008-11-16,6
2008-11-17,1
2008-11-18,2
2008-11-19,-1
